تصميم	determination - design
شَيّع	accompany, bid farewell to, see off (e.g. in funeral)
لقي حتفه	be killed (in action) (syn. لقى مصرعه)
الغاز المُسَيِّل للدموع	tear gas
استنشاق	inhalation, breathing in (استنشاق الغاز المسيل للدموع)
إندلع	break out
مُسَوَّدَة	sketch, draft, outline
شفاف	transparent (مجلس الأمن يدعو إلى إجراء تحقيق مستقل وشفاف)
إزاء	toward, against, versus
بما في ذلك	including
تَفَاقَم	become aggravated, worse, critical
مُتَعَمّد	deliberate, calculated, conscious, on purpose
باليستي	ballistic
آهل بالسكان	inhabited (المناطق الآهلة بالسكان)
اِعْتِراض	challenge, objection, protest, demurral
تَنَاثَرَ	be dispersed, scattered, divided into many parts (تناثر شظايا الصاروخ على الأحياء السكنية)
شَظِيّة, شظايا	fragment(s), splinter(s)
احترافية	professionalism
أحدَث	the latest
أَفْواج	In droves, en masse; regiments, battallions
عشوائيات	slums, squatter areas
سامّ	toxic, poisonous
حبس, يحبِس، الحبْس	detain, imprison, hold
المفوض السامي	High Commissioner
حرم, يحرِم	deny, deprive of, prevent s.o. from
مُمَنْهَج	systematic
تَمَخّض عن	produce, result in, bring about
مُرَوّع	appalling, dreadful, alarming
مُتَكَافِئ	balanced, proportionate, equivalent
تَبَايُن	difference, discrepancy, divergence (e.g. in proportions)
ناجم عن	caused by, arising from, a consequence of
مُنْحاز	prejudiced, biased, allied with
المواثيق الدولية	international conventions (International Law)
ضرب بعُرْض الحائط	"completely disregard, flout, reject, disdain (lit. ""hit the middle of the wall"")"
في عُرْض البحر	on the high seas
لَوْم	"blame, rebuke, reproach ""ألقى باللوم"" - to blame"
من المُرَجَّح	likely, probably
اِسْتِحْواذ	obsession, absorption, preoccupation
مُعَادَاة	hatred, hostility, aversion, jealousy
مِثْقَالَ ذَرَّة	"the weight of an atom (fig. ""in the slightest"") لن يغير الوضع على الأرض مثقال ذرة"
مُطِلٌّ عَلَى	overlooking (e.g. الجبل مطل على القرية)
زعزعة	Shake, upset
حان الوقت	the time is ripe to, it is time toالوقت قد حان الآن للتعامل مع التهديد النووي
حفرية اثرية	Archaeological excavation
غَشّ، الغِشّ	cheat, manipulate, fraud
حَفَرَ، يَحْفِرُ	dig, drill, bore, excavate
لَحْن، الحان	melody, tune
ملحّن	composer
تلحين	composition (music)
طرف، اطراف	limb, extremity, edge, border
طَرَفَ، يَطْرِفُ, الطَرْف	blink, squint, wink (لا تطرف بعينيك إلى لوحة المفاتيح)
تأهب	be alert, be prepared (تتخذ سلطنة عُمان حالة التأهب القصوى)
إعصار	hurricane, whirlwind, cyclone
هطول	precipitation, (rain)fall
غَزِير	abundant, copious, heavy (rain)
مصحوب	accompanied
عاصفة، عواصف	storm
رَعْد	thunder (thunderstorm: عاصفة رعدية)
أجّل	postpone, defer, delay
أوى	to shelter, harbour, house
إيواء	shelter, accommodation
مأوى، مآوٍ	refuge, shelter
مكتئب	depressed (psychologically)
كآبة	depression (psychological)
إنخفض	decrease
يابِس	arid, barren
تدرج في المناصب الى ان	rise in the ranks until
سافر الى امريكا في منحة دراسية	Go to America on a scholarship
في الرابع من عمره	When he was 4 years old = في سن ٤ سنوات
علامة ترقيم	Punctuation mark
فقرة	Paragraph
تلقى تعليمه	Receive one’s education
سلة	Basket
مثير	Influential, provocative
رفيع	Elevated, lofty, high-ranking
ساحل ، سواحل	Coast, seashore, beach
واقعة	Incident, event, development
محادثة	Discussion, talk, negotiation
قابل	Capable, able = قادر، قدير، موهل
مكالمة	Conversation, phone call
فعّال	Effective, active
حِذر	Care, caution, prudence
مُسْبَق	Previous, preceding
مُسْبَقا	In advance = مقدما
بَلَدي	Indigenous, native, local, folk-
تعويض، تعويضات	Compensation, restoration
مُلْتَقى	Meeting, forum, conference
صيغة	Form, shape, formula
حَظِي	Enjoy (respect, confidence), acquire
بَنْد، بُنود	Article, clause
يأس	Despair, hopelessness
بِأُسْرَتِهِ	Completely, in its entirety
إثْر	Right after
مأساة	Tragedy, calamity
جَدْوى	Benefit, advantage, utility
أسْفَل	Bottom, lower part
ناطق	Speaker, spokesman
مَعْلاة	Greatness, nobility
أسْفَر عن	Cause, result in
مَعْلَم، مَعالِم	Sign, mark, feature
مُخَدِّر	Anaesthetic
مَلاك، مَلائكة	Angel
نَصّ	Stipulate, specify
دَعْوَى	Lawsuit, legal action, allegation
صَبّ	Flow, fall (rain/snow), pour (tea)
عِصابة	Gang, band, group
جانب مُضِيء	Bright side (of things)
حلّ ب	Befall
ساق، ساقَيْن	Leg (f.)
قَدَم، قدمين	Foot
كيس نقود	Wallet
مبلغ المعاش	Pension
كواء	Iron (for clothes) الكي = ironing
خلّص من	Save from الحمد للله خلصني منه
تقلب، تقلبات	Fluctuations, vicissitudes
نَعَتَ	Describe, characterize = وصف
صَبايا	Girls
حَبْل، حِبال	Rope, cable, cord
وسيم	Beautiful, charming, pretty
لوّح	Burn, scorch, lambast
مُفْرِط	Exaggerated, excessive
سياج	Fence
تَلْبِيَةً	In response to, in compliance with
إِسْتِئناف	Resumption, renewal, reopening
-أوْعَز ل	Direct, instruct
هَتَفَ	Cheer, chant (slogans)
بَعوض	mosquito(es)
لُغْز، ألْغاز	Riddle
رغيف	Loaf of bread
شلن	5 piasters
يتيم	Orphan
هوّى	To air
إنقدح في ذهنه	Have an idea
عبقرية	Genius
قضمة	A bite
غير مستساغ	Unpalatable
بخار	Steam
شواء	Barbecue
لحم الضأن	Lamb
غمس	To dip (food)
رنّ	Resound
رُفِعَت الجلسة	The session was adjourned
قارس	Strong
بدني	Physical
ذهني	Mental
حساسية	Allergy
قُرْصة	Sting
إكتظ	Be filled with, overflow with اكتظ الشارع بمحتجين
تخصيب	Enrichment (uranium)
أَجْر، أُجور	Wage, pay, Recompense
خَلَل	Malfunction, breakdown, defect
بغَضّ النظر عن	While ignoring, turning a blind eye toغَضّ= Lowering (one’s gaze)
عِطْر، عُطور	Perfume
أَيْمَن	Right, right hand, lucky
صُلْب	adj. Solid, hard n. Core, crux, steel
مطالبة	Demand, requirement
بَعْثة	Delegation (= وفد )
نَوْعِيّة	Peculiarity, characteristic
سُرْعان ما	How quickly, it didn’t take long for
عَصَبي	Nervous, irritable
نَظيف	Clean
وَجْبة	Meal, menu
ًهُدى	Guidance
أمْسَك	Grab, hold, refrain from
مجزرة	Massacre, slaughter
تأْهيل	Certification, qualification, training
تَمْييز	Distinction, differentiation, discrimination
عِزً	Prime, peak, height
مُأَثِّر	adj. Influential, effective, touching n. effect, impact
لائحة	List, table, schedule
مُبَرّر	Excuse, justification
إلْتَفَتَ	Turn around, pay attention to
مَجاني	Free of charge
وَرْشة	Workshop
رَحِم	Uterus, womb, bosom, inside, kin, kinfolk
مُتَنَوِّع	Various, diverse, sundry
جَوْدة	Excellence, good quality
حارة	Quarter, district
سِلْعة	Commodity, product
مَطْلَع	Beginning
عَميد	Dean, chief
حَنان	Affection, love, sympathy
بَصَر	Vision، perception
قَرْض، قُروض	Bank loan
صافٍ	Pure, clear, sincere, net (econ.)
رَجاء	Hope, expectation
قارّة	Continent
سِلَع	Goods
حَريق	Fire
تَكْلِفة	Cost
مُتَكامل	Integral, comprehensive
طار، يطير، الطَيَران	Fly
طار عقله	Lose one’s mind
هو من موالِد	Be born on/in
طائر	Bird
حِدّة	Intensity, violence
بمُوجَب	According to, on the basis of
مِرْفَق، مَرافِق	Convenience, service
اشاد	Praise, commend
عامة الناس	The general public
عامةً	Generally
مُصيبة	Misfortune, tragedy
سَقْف	Roof, ceiling
تطلّع	Look/glance at, anticipate
اصّر	Insist on, assert
تَعْب	Trouble, inconvenience, burden
سور، اسوار	Fence, enclosure
مَرْتَبة	Level, rank, degree, position
دَيْن	Debt
سِنّ، اسنان	Tooth
أجْمَع	Entire, complete, all of
صَبِيّ	Young boy, youth
مُبْدِع	Innovative, creative
صَوْب	Direction, quarter
صُدور	Publication, appearance
عَرْش	Throne
مُبَيّن	Clarifying, explaining, indicating
وُدّ	Affection, fondness, friendship
ضَمير	Conscience
ميزانية	Budget
فصيلة	Faction, branch, cell
كَفّ	Palm of hand, refraining, stopping
نَقْدي	Monetary, critical
دُفْعة	Batch, class, instance
طُموح	Ambition, desire, aspiration
وَهْم	Illusion, fantasy
خَضَعَ	Submit, yield to, be subjected to, undergo
إمتداد	Extent, scope, expansion, extension
إستعادة	Recovering, regaining
مُخابرة	Correspondence, communication
مواصفات	Specification, specs
حَرْف، احراف	Letter
غاص، يغوص، الغوص	(Scuba) diving
قرنبيط	Broccoli، cauliflower
اشقر، شقراء	Blond
مغامرة	Adventure
رَكَضَ، يَرْكُض، الرَكْض	Running, jogging
حارة، حارات	Alley, lane
ناصية، نواصٍ	Corner (of an intersection)
نفق، انفاق	Tunnel
عمارة، عمارات	Building
عقار، عقارات	Real estate
مقصف، مقاصف	Cafe
حانة، حانات	Bar (for drinks)
مسرح، مسارح	Theater
مقعد، مقاعد	Seat, bench
كنيس	Synagogue
طوب	Brick
صرّاف آلي	ATM
عيادة، عيادات	Clinic
ينبوع، ينابيع	Fountain
رصيف	Sidewalk
مَطَبّ، مطبات	Pothole, speed bump
بلاعة، بلاعات	Sewer, drain
مجاري	Sewage
يافطة، يافطات	Sign (traffic)
مواصلات	Transportation
مرور	Traffic
ضَجّة	Noise
هَرْجَلة	Mess
نُفاية	Trash, garbage
طابور، طوابير	Queue, line of people
حافلة، حوافل	Bus
دَرّاجة	Bicycle
شاحنة	Truck
عجلة القيادة	Steering wheel
فرامَل	Brakes
زَمّر	Honk
بَوْق، ابواق	Car horn
صادَمَ	To Crash
مَرْكَب	Boat
زَوْرَق، زوارق	Boat
قارِب، قوارب	Small boat
سفينة	Ship
عَبّارة، عبارات	(Cruise) liner (large ship)
أقْلَعَ	Take off (plane)
هَبَطَ، يَهْبُطُ، هُبوط	To land (plane)
حَجَز، يَحْجِزُ، حَجز	To reserve
تعَطّل	Be delayed
نَسَمة، نسمات	Person (in statistics)
طِفْل رَضيع، اطفال رضاع	Baby
صَبي، صِبْيان	Boy
نَجْل، اَنْجال	Son (=ابن)
صَبية، صبايا	Girl
عَيِّل، عِيَّال	Kid
مُراهق	Teenager, adolescent
فَتى، فِتيان	Young man
قاصِر	Minor (opp. بالغ)
راشد	Adult (=بالغ)
تَؤْام، توائم	Twin
يتيم، يتامى	Orphan
جَدّ، جُدود	Grandfather
نَسيب، انْسِباء	In-law
حَماه، احْماء	Father in law
حَماة، حموات	Mother in law
صِهر، اصهار	Son in law
كَنّة، كَنائن	Daughter in law
سِلف، اسلاف	Brother in law (spouse’s brother)
عديل، عدائل	Brother in law (sibling’s husband)
سِلفة	Sister in law
اَعْزَب	Single, unmarried
نِكاح	Marriage
ليلة الدُخْلة	Wedding night
شَهْر عَسَل	Honeymoon
مَهْر، مُهور	Dowry (=صِداق)
عَروس، عرائس	Bride
عريس	Groom
اَنْجَبَ	Have children
مُطَلَّق	Ex-husband (مطلقة=exwife)
ارمل، ارامل	Widower (ارملة=widow)
كراهية	Hate
حَنين	Yearning
شَوْق	Longing, desire
مَرارة	Bitterness
صَرَخَ يَصْرُخ، الصُراخ	Scream, shout
شَتَمَ، يَشْتِم، الشَتم	To insult
خانَقَ	To fight with s.o.
جادَلَ	Argue with s.o.
لامَ، يَلوم، اللوم على	Blame so for st
أنّبَ على	Scold so for st
بَوّزَ	Pout, sulk
تَجَهَّمَ	Frown, scowl
ناصِر، انصار	Partisan, supporter
اِطّلع	Review, examine, study, peruse
إضطراب	Disturbance, disorder
صَلُحَ	Be suitable, fitting, valid
بيئيّ	Environmental
تَوافُق	Congruence, compatibility, agreement
اَحْسَنَ	Master, be good at
شَوْط	Round, phase, game, half period
قَطَعَ شَوْطا	Make headway, major progress
صِيانة	Maintenance, preservation
اقَرّ	Ratify, accept, confess st
استطلاع	Poll, investigation, reconnaissance
سائر	Most of, the majority of
ميناء	Port, harbour
شكى، يشكو، الشكوى من	Complain about
تَذَمَّرَ	Grumble, complain (about)
إنفضح	Be disgraced, be subject of a scandal
جُرْسة	Public disgrace, scandal
قَبَّلَ	To kiss
قُبْلة، قُبْلات	A kiss
حَضَنَ، يَحْضُنُ، الحُضْن	Hug, embrace
تَنَهَّدَ	To sigh
تَنْهيدة، تَناهيد	A sigh
مَرِح	Cheerful
فَخور	Proud (فَخْر=pride)
راضي	Content, satisfied
رَضِىَ، يَرْضَى، رِضىً	Be content, satisfied with
نادِم	Regretful (نَدَم=regret)
نَدَمَ، يَنْدَمُ، النَدَم	To regret
تَعيس، تُعَساء	Miserable, very unhappy
أُمْنِية، امانٍ	A hope, wish
إستكان، يستكين، الاستكانة	Resign oneself to
تَعَوَّد	Get used to
قَلِقَ، يَقْلِقُ، القَلَق	Be worried
هَمّ، هُموم	Worries
تَضايق من	Get annoyed at
مُتَضايِق	Annoyed
مُشاغِب	Troublemaker
خَجِلَ، يَخْجَلُ، الخَجَل من	Be embarrassed by
خَجْلان	Embarrassed
أَخْجَلَ	To embarrass so (=أحْرَجَ)
أَحْرَجَ	Embarrass (=أَخْجَلَ)
خَجول	Shy, embarrassed
حَساس	Sensitive
مُشَجِّع	Supporter, fan (eg football)
دَهَسَ, يَدْهَسُ، الدَهْس	Run over, trample down, crush
نُعَاس	Sleepiness, drowsiness غلبه النعاس= he fell asleep, became drowsy
مارة	Passing, passers by, bystanders
حَشْد، حُشود	Crowd, mobilization
حَرِج	Narrow, tight, oppressed, critical (eg situation, injuries)
سُلَحْفاة، سَلاحِف	Turtle
اكتظاظ	Overcrowding
إنتقم	Take revenge, avenge (Revenge = إنتقام)
جوز	Walnut
العَذْراء	The Virgin
شَنَب	Moustache (وَحَياة شَنَبي = I swear by my moustache)
مَيْل، مُيول	Tendency, inclination
شَقي، اشقياء	Naughty, mischievous
مُتَهَوِّر	Reckless
طَمْأَنَ، يُطَمْئِنُ، الطَمْأنة	To reassure s.o.
مُنْدَهِش	Amazed
أَدْهَشَ	To amaze
مُسْتَغْرِب	Astonished, surprised
مَذْهول	Shocked
حائِر	Confused (حيرة= confusion)
حَيَّرَ	To confuse s.o.
حازِم	Firm
حاسِم	Decisive
أَفْزَعَ	To frighten, alarm s.o.
ذُعْر	Panic, terror
غَيور، غُيُر	Jealous (Jealousy = غيرة)
غار، يَغيرُ، الغيرة	Be jealous (of)
حَسود، حُسُد	Envious (Envy = حَسَد)
حَسَدَ، يَحْسُدُ، الحَسَد	To envy
مُشْمَئِزّ من	Disgusted by
إشْمَأزَّ، يَشْمَأِزُّ، الإشْمِئزاز	To be disgusted
واثِق ب	Confident in
نَعْسان	Sleepy
عَنيد، عُنُد	Stubborn
طَمّاع	Greedy
فَجْعان	Gluttonous
أناني	Selfish (Opp. غيري)
مُسْرِف	Spendthrift
بَخيل	Stingy, cheap
مُقْتَصِد	Frugal
مُهْمِل	Careless, negligent
حَنون	Affectionate (Affection = حنان(
شَفوق	Kind (= طَيِّب)
ظَريف، ظُرَفاء	Pleasant, agreeable (Pleasantness = الظَرْف)
حَليم، حُلَماء	Tolerant, good-natured
رَقيق، رُقاق	Gentle, sensitive
مُؤَدَّب	Polite
كَسول	Lazy (Opp. مُجْتَهِد)
مُصَمّم	Determined
فائِق	Alert, awake
جَرِئ	Bold, daring (Rel. to شُجاع)
جَبان، جُبَناء	Cowardly (adj)
فُضولي	Curious
مَغْرور	Egotistical, conceited
تَباهى، يَتَباهي، تَباهٍ ب	Brag, boast about
عاقِل، عُقَلاء	Sensitive, reasonable, sane
أَهْبَل، هَبْلاء، هُبْل	Silly, foolish, simple-minded
سَخيف، سُخَفاء	Stupid, fatuous; disagreeable, nasty
شاطِر، شاطِرون	Clever
نَبيه، نُبَهاء	Smart, intelligent
نَزيه، نُزَهاء	Honest, scrupulous, has integrity
غَدّار	Treacherous, betrayer
غَدَرَ، يَغْدُرُ، الغَدْر ب	Betray (= خان، يجون، الجيانة)
نَصَّاب	Swindler
مَكّار	Cunning, sly, deceitful
خَدَعَ، يَخْدَعُ، الخُدْعة	To trick, deceive
قاسٍ، قُساة	Cruel (Cruelty = القَسوة)
قَسا، يَقْسو، القَسْوة على	To be cruel to
ساذِج، سُذّاج	Naive, clueless
مُتَفائل	Optimistic (Opp. مُتَشائم)
مُتَشائم	Pessimistic (Opp. مُتَفائل)
مُضَحِّك	Funny
عاطِف، عَواطِف	Emotion
مَهْموم	Worried
مُتَوَتّر	Tense, nervous
أَزْعَجَ	To annoy
وُلوج	Access, entry
قائض	Excess, surplus
مقايضة	Barter, trade-off, exchange
استيراد	Importation
نُحاس	Copper
راقي	Advanced, classy
وَدي، وديان	Valley
رَي	Irrigation (مرَوّي = irrigated)
إخْتِراع	Invention
طَوْر، اطوار	Stage, phase
ملكية	Ownership
تلاشى	Fade, disappear
تضاءل	Diminish, erode
مَحاصيل	Crops, yields
سفن شراعية	Sailing ships
استعاض	Replace, substitute
ثَوْر	Bull, ox (ثيران)
جَرّ	Drag, pull
حَرَثَ، يْحرَثُ، الحَرْث	Plough, till
زَحَفَ، يَزْحَفُ، الزَحْف	Crawl, creep
زَحافة	Reptile
إبتكر	Invent, come up with
بِكْر	Virgin
طَقْس، طُقوس	Ritual
فُخار	Pottery
لَبَثَ، يَلْبَثُ، اللَبْث/اللِباث	Tarry, linger Not take long, lose no time
سَخّرَ	Make use of
تَفاعُلي	Interactive
إندِفاع	Rush, momentum
بُزوغ	Emergence, dawn
جَوْهَري	Fundamental, essential
إبان	During
ثمة	There is
خام	Raw, crude المواد الخام= raw material
تَعْدين	Mining
دَعامة	Pillar, cornerstone
شَرَعَ	Initiate, begin
تَراكَمي	Cumulative, incremental
وفرة	Abundance
مُطير	Rainy
مَناخ	Climate, atmosphere مناخي - climatic
رُقْعة	Patch, area
دِجْلة	Tigris
تَجانُس	Cohesion, homogenization
ساذِج	Simple, naive
بالاَحْرى	Rather, instead
بؤرة	Focus, epicenter, focal point
انعِزال	Isolation
مُقَوَّمات	Fundamentals, features, viability
فَخْم	Stately, grandiose, splendid
مَضْفور	Intertwined, braided
لِبْن	Brick
أسطواني	Cylindrical
بواكير	Early, in beginning of
تَشييد	Construction, building
مصطبة	Terrace
شُيوع	Prevalence, spread
دمى	Effigies, puppets
تَشْخيص	Diagnosis
مِسماري	Cuneiform
قالِب، قَوالِب	Stereotype, mould, template
لوح، الواح	Tablet, board
تجنى ضرائب	Levy taxes
إلَه، آلِهة	Deity, god
عَصَب	Nerve
تَرْف	Luxury
قشرة	Peel, skin, crust, veneer
فأس	Axe
إنْبَثَقَ	Emanate from, spring from
سُلالة	Dynasty
مُبْهِم	Vague, ambiguous
تَناسُق	Coherence, harmony
فَجْوة	Gap, hole
مُغأير	Different
إنبِلاج	Dawn
تَوطيد	Consolidation
موازٍ، الموازي	Parallel
هَرَمي	Hierarchical (From هَرَم، اهْرام)
وَخيم	Grave, dire
عَلاوةً على	In addition to, moreover
بَسَطَ السيطرة	Excert authority
مساواة	Equality
متساوي	Equal (Better: على قدم المساواة؛ على مبدأ المساواة)
إنتهازية	Opportunism (Adj: إنتهازي)
عضو، اعضاء	Organ (of the body), member
وَرَم، اورام	Tumour
بَخور	Incense
جَلَبَ، يَجْلِبُ، الجَلْب	Bring, import
شائِع	Common, popular
إقْتَبَسَ	To quote (A quote: اقتباس)
مِحْرَاب، مَحارِيب	Niche (architecture)
نَصْب	Cheating, swindling
تَذكاري	Commemorative, memorial
مَزْهَرية	Vase (for flowers)
عاج	Ivory (Adj. عاجي)
كان حَري بي ان	I should have
رَقَبَة	Neck
تَغَلَّبَ على	Overcome, defeat
مُفْتَرِس	Predator, predatory, ferocious
عَزَا، يَعْزو، العَزْو	Ascribe
أتْكَلَ على	Rely on (إتْكال = reliance)
إغْفال	Carelessness, absentmindedness, disregard
نَهِلَ، يَنْهَل، النَهَل	To drink
قَفَزَ، يَقْفِز، القَفْز	To jump
عَيَّط	Cry, weep (عِياط = yelling, screaming)
نَقْش، نُقُوش	Inscription
دَيْر، أديرة	Monastery
نَسَل	Lineage
نَحْل	False attribution (early poetry) - مَنْحول Bee(s)
ناقة, نُوق	Female camel
مُولَع ب	Crazy about, enthusiast, deeply attracted to
قافية	Rhyme
أطْلال	Ruins, remains
نَسَجَ، يَنْسُجُ، النَسْج	To weave, knit
فات، يَفوت الفَوْت	Elude, pass by فاته ان = it escaped him that, he missed
سال، يَسيلُ، السَيل	Flow, run, stream
سؤال إخباري	Rhetorical question
دَأَبَ، يَدْأَبَ، الدَأْب	Persist, persevere
دَأب، أدْؤُب	Habit
نَحَرَ، يَنْحُر، النَحْر	Slaughter
نَحْر	Throat, killing/slaughter
دِهْن	Fat
هَدَب	Lashes, fringes
نَحْت	Sculpting
أَتْلَفَ	Discard, scrap, destroy
فَلَك	Astrology
الذَكاء الصناعي	Artificial intelligence
جَنّة، جَنائِن	Garden
حجر الرشيد	Rosetta Stone
تَأَهُّل	Qualification (incl. for competitions)
رَوّاج	Vogue, popularity, boom
طَعَنَ، يَطْعُن، الطَعْن	Stab, appeal (verdict)
سَطْوة	Reign, power
جِوار	Vicinity
إضرام	Ignite (fire), set alight
فلاة	Desert
بَلَغَ السَيْل الزَبي	Have enough of
أَنَفة	Pride, haughtiness
طيش	Indiscretion, recklessness
مَنْفَذ	Opening, exit, access
إلحاح	Urgency, pressing
إِبِل	Camels
فَصيل	Young camel
إستِفْزاز	Provocation
على سَكَرات الموت	in agony of death, in death throes
مَظْلوم	Wronged, aggrieved
كَشَحَ	Harbour enmity toward
مُكَبَّس	Stapler (Staples: كبّاسات)
غُراب، غِرْبان/أغْرِبة	Crow
زير، أزيار	Ladies’ man, philanderer
أنام	Living creatures, people
مُجون	Buffoonery
فَحْل	Stallion, bull, virile, strong poet
فُحولة	Potency, virility
هَلْهَل	Flimsy, loose
هَلَلْ	Dread, fright, terror
هَلَّلَ	Glorify, praise
تَوَغَّلَ	Go deep into, advance, delve into
سَريع البَديهة	Quick-witted, fast on one’s foot
رُمْح، رِماح	Spear
خِصال	Characteristics (Syn. سِفات)
شَمَّرَ	Pull up (sleeve or trouser leg; latter is signal of serious event)
عار	Shame
مَلْحَمة	Epic
أجْهَزَ على	Kill
ثأر على	Blood revenge
حيلة	Trick, ruse
وأد	Burying alive (eg of baby girls)
سَبي، سَبايا	Prisoner of war
دَعَارة	Prostitution (Syn. بِغاء، خَلاعة، فُجور، فِسق)
نُزوح	Displacement, migration, exodus (نازحون: displaced people)
مُبْرَم	Firm, definitely established, binding
فئة, فئات	Category
تَفاوُت	(Statistical) variation (Also: اختلافات، مُتَغَيِّر، فُروق)
احتياط	Reserve, backup, precaution
فرضية	Hypothesis (Also افتراض)
توسُع	Expansion (Transitive: توسيع)
ثَعْلَب, ثَعَالِب	Fox
شَحْم	fat (noun)
طَبْل، طبول	Drum
قُضْبان	Branches/sticks (of a tree)
مُفْرِه	Fancy, elegant
اناقة	Stylishness, Chic-ness
كادِح	Hard-working
